dataset,task,count,success_rate,difficulty,group,source_url,evidence,adapter_method
Google DeepMind Open X-Embodiment / RT-X,openx_skill_bucket_56_cross_embodiment_skill,3136.0879,0.4584,0.8137,tail,https://robotics-transformer-x.github.io/,"official aggregate: 1000000+ trajectories, 22 robots, 527 skills, 160266 tasks, 60 datasets",aggregate_zipf_expansion_from_official_counts
Google DeepMind Open X-Embodiment / RT-X,openx_skill_bucket_57_cross_embodiment_skill,3076.7092,0.4511,0.8244,tail,https://robotics-transformer-x.github.io/,"official aggregate: 1000000+ trajectories, 22 robots, 527 skills, 160266 tasks, 60 datasets",aggregate_zipf_expansion_from_official_counts
Google DeepMind Open X-Embodiment / RT-X,openx_skill_bucket_58_cross_embodiment_skill,3019.4585,0.4438,0.8352,tail,https://robotics-transformer-x.github.io/,"official aggregate: 1000000+ trajectories, 22 robots, 527 skills, 160266 tasks, 60 datasets",aggregate_zipf_expansion_from_official_counts
Google DeepMind Open X-Embodiment / RT-X,openx_skill_bucket_59_cross_embodiment_skill,2964.2247,0.4365,0.846,tail,https://robotics-transformer-x.github.io/,"official aggregate: 1000000+ trajectories, 22 robots, 527 skills, 160266 tasks, 60 datasets",aggregate_zipf_expansion_from_official_counts
Google DeepMind Open X-Embodiment / RT-X,openx_skill_bucket_60_cross_embodiment_skill,2910.9044,0.4292,0.8568,tail,https://robotics-transformer-x.github.io/,"official aggregate: 1000000+ trajectories, 22 robots, 527 skills, 160266 tasks, 60 datasets",aggregate_zipf_expansion_from_official_counts
Google DeepMind Open X-Embodiment / RT-X,openx_skill_bucket_61_cross_embodiment_skill,2859.4011,0.4219,0.8676,tail,https://robotics-transformer-x.github.io/,"official aggregate: 1000000+ trajectories, 22 robots, 527 skills, 160266 tasks, 60 datasets",aggregate_zipf_expansion_from_official_counts
Google DeepMind Open X-Embodiment / RT-X,openx_skill_bucket_62_cross_embodiment_skill,2809.6244,0.4146,0.8784,tail,https://robotics-transformer-x.github.io/,"official aggregate: 1000000+ trajectories, 22 robots, 527 skills, 160266 tasks, 60 datasets",aggregate_zipf_expansion_from_official_counts
Google DeepMind Open X-Embodiment / RT-X,openx_skill_bucket_63_cross_embodiment_skill,2761.4902,0.4073,0.8892,tail,https://robotics-transformer-x.github.io/,"official aggregate: 1000000+ trajectories, 22 robots, 527 skills, 160266 tasks, 60 datasets",aggregate_zipf_expansion_from_official_counts
Google DeepMind Open X-Embodiment / RT-X,openx_skill_bucket_64_cross_embodiment_skill,2714.9193,0.4,0.9,tail,https://robotics-transformer-x.github.io/,"official aggregate: 1000000+ trajectories, 22 robots, 527 skills, 160266 tasks, 60 datasets",aggregate_zipf_expansion_from_official_counts
DROID real robot manipulation dataset,droid_task_bucket_01_in_the_wild_manipulation,21838.2757,0.86,0.22,head,https://droid-dataset.github.io/,"official aggregate: 76000 trajectories, 350 hours, 564 scenes, 86 tasks, 50 collectors",aggregate_zipf_expansion_from_official_counts
DROID real robot manipulation dataset,droid_task_bucket_02_in_the_wild_manipulation,9772.9021,0.8502,0.2345,head,https://droid-dataset.github.io/,"official aggregate: 76000 trajectories, 350 hours, 564 scenes, 86 tasks, 50 collectors",aggregate_zipf_expansion_from_official_counts
DROID real robot manipulation dataset,droid_task_bucket_03_in_the_wild_manipulation,6106.0125,0.8404,0.2489,head,https://droid-dataset.github.io/,"official aggregate: 76000 trajectories, 350 hours, 564 scenes, 86 tasks, 50 collectors",aggregate_zipf_expansion_from_official_counts
DROID real robot manipulation dataset,droid_task_bucket_04_in_the_wild_manipulation,4373.4962,0.8306,0.2634,head,https://droid-dataset.github.io/,"official aggregate: 76000 trajectories, 350 hours, 564 scenes, 86 tasks, 50 collectors",aggregate_zipf_expansion_from_official_counts
DROID real robot manipulation dataset,droid_task_bucket_05_in_the_wild_manipulation,3376.0832,0.8209,0.2779,head,https://droid-dataset.github.io/,"official aggregate: 76000 trajectories, 350 hours, 564 scenes, 86 tasks, 50 collectors",aggregate_zipf_expansion_from_official_counts
DROID real robot manipulation dataset,droid_task_bucket_06_in_the_wild_manipulation,2732.5171,0.8111,0.2923,head,https://droid-dataset.github.io/,"official aggregate: 76000 trajectories, 350 hours, 564 scenes, 86 tasks, 50 collectors",aggregate_zipf_expansion_from_official_counts
DROID real robot manipulation dataset,droid_task_bucket_07_in_the_wild_manipulation,2285.0969,0.8013,0.3068,head,https://droid-dataset.github.io/,"official aggregate: 76000 trajectories, 350 hours, 564 scenes, 86 tasks, 50 collectors",aggregate_zipf_expansion_from_official_counts
DROID real robot manipulation dataset,droid_task_bucket_08_in_the_wild_manipulation,1957.1944,0.7915,0.3213,head,https://droid-dataset.github.io/,"official aggregate: 76000 trajectories, 350 hours, 564 scenes, 86 tasks, 50 collectors",aggregate_zipf_expansion_from_official_counts
DROID real robot manipulation dataset,droid_task_bucket_09_in_the_wild_manipulation,1707.2497,0.7817,0.3357,head,https://droid-dataset.github.io/,"official aggregate: 76000 trajectories, 350 hours, 564 scenes, 86 tasks, 50 collectors",aggregate_zipf_expansion_from_official_counts
DROID real robot manipulation dataset,droid_task_bucket_10_in_the_wild_manipulation,1510.8396,0.7719,0.3502,medium,https://droid-dataset.github.io/,"official aggregate: 76000 trajectories, 350 hours, 564 scenes, 86 tasks, 50 collectors",aggregate_zipf_expansion_from_official_counts
DROID real robot manipulation dataset,droid_task_bucket_11_in_the_wild_manipulation,1352.7042,0.7621,0.3647,medium,https://droid-dataset.github.io/,"official aggregate: 76000 trajectories, 350 hours, 564 scenes, 86 tasks, 50 collectors",aggregate_zipf_expansion_from_official_counts
DROID real robot manipulation dataset,droid_task_bucket_12_in_the_wild_manipulation,1222.8357,0.7523,0.3791,medium,https://droid-dataset.github.io/,"official aggregate: 76000 trajectories, 350 hours, 564 scenes, 86 tasks, 50 collectors",aggregate_zipf_expansion_from_official_counts
DROID real robot manipulation dataset,droid_task_bucket_13_in_the_wild_manipulation,1114.4076,0.7426,0.3936,medium,https://droid-dataset.github.io/,"official aggregate: 76000 trajectories, 350 hours, 564 scenes, 86 tasks, 50 collectors",aggregate_zipf_expansion_from_official_counts
DROID real robot manipulation dataset,droid_task_bucket_14_in_the_wild_manipulation,1022.6095,0.7328,0.4081,medium,https://droid-dataset.github.io/,"official aggregate: 76000 trajectories, 350 hours, 564 scenes, 86 tasks, 50 collectors",aggregate_zipf_expansion_from_official_counts
DROID real robot manipulation dataset,droid_task_bucket_15_in_the_wild_manipulation,943.9576,0.723,0.4226,medium,https://droid-dataset.github.io/,"official aggregate: 76000 trajectories, 350 hours, 564 scenes, 86 tasks, 50 collectors",aggregate_zipf_expansion_from_official_counts
DROID real robot manipulation dataset,droid_task_bucket_16_in_the_wild_manipulation,875.869,0.7132,0.437,medium,https://droid-dataset.github.io/,"official aggregate: 76000 trajectories, 350 hours, 564 scenes, 86 tasks, 50 collectors",aggregate_zipf_expansion_from_official_counts
DROID real robot manipulation dataset,droid_task_bucket_17_in_the_wild_manipulation,816.3898,0.7034,0.4515,medium,https://droid-dataset.github.io/,"official aggregate: 76000 trajectories, 350 hours, 564 scenes, 86 tasks, 50 collectors",aggregate_zipf_expansion_from_official_counts
DROID real robot manipulation dataset,droid_task_bucket_18_in_the_wild_manipulation,764.0156,0.6936,0.466,medium,https://droid-dataset.github.io/,"official aggregate: 76000 trajectories, 350 hours, 564 scenes, 86 tasks, 50 collectors",aggregate_zipf_expansion_from_official_counts
DROID real robot manipulation dataset,droid_task_bucket_19_in_the_wild_manipulation,717.5698,0.6838,0.4804,medium,https://droid-dataset.github.io/,"official aggregate: 76000 trajectories, 350 hours, 564 scenes, 86 tasks, 50 collectors",aggregate_zipf_expansion_from_official_counts
DROID real robot manipulation dataset,droid_task_bucket_20_in_the_wild_manipulation,676.1196,0.674,0.4949,medium,https://droid-dataset.github.io/,"official aggregate: 76000 trajectories, 350 hours, 564 scenes, 86 tasks, 50 collectors",aggregate_zipf_expansion_from_official_counts
DROID real robot manipulation dataset,droid_task_bucket_21_in_the_wild_manipulation,638.9163,0.6643,0.5094,medium,https://droid-dataset.github.io/,"official aggregate: 76000 trajectories, 350 hours, 564 scenes, 86 tasks, 50 collectors",aggregate_zipf_expansion_from_official_counts
DROID real robot manipulation dataset,droid_task_bucket_22_in_the_wild_manipulation,605.3521,0.6545,0.5238,medium,https://droid-dataset.github.io/,"official aggregate: 76000 trajectories, 350 hours, 564 scenes, 86 tasks, 50 collectors",aggregate_zipf_expansion_from_official_counts
DROID real robot manipulation dataset,droid_task_bucket_23_in_the_wild_manipulation,574.9288,0.6447,0.5383,medium,https://droid-dataset.github.io/,"official aggregate: 76000 trajectories, 350 hours, 564 scenes, 86 tasks, 50 collectors",aggregate_zipf_expansion_from_official_counts
DROID real robot manipulation dataset,droid_task_bucket_24_in_the_wild_manipulation,547.2343,0.6349,0.5528,medium,https://droid-dataset.github.io/,"official aggregate: 76000 trajectories, 350 hours, 564 scenes, 86 tasks, 50 collectors",aggregate_zipf_expansion_from_official_counts
DROID real robot manipulation dataset,droid_task_bucket_25_in_the_wild_manipulation,521.9248,0.6251,0.5672,medium,https://droid-dataset.github.io/,"official aggregate: 76000 trajectories, 350 hours, 564 scenes, 86 tasks, 50 collectors",aggregate_zipf_expansion_from_official_counts
DROID real robot manipulation dataset,droid_task_bucket_26_in_the_wild_manipulation,498.7114,0.6153,0.5817,medium,https://droid-dataset.github.io/,"official aggregate: 76000 trajectories, 350 hours, 564 scenes, 86 tasks, 50 collectors",aggregate_zipf_expansion_from_official_counts
DROID real robot manipulation dataset,droid_task_bucket_27_in_the_wild_manipulation,477.3494,0.6055,0.5962,medium,https://droid-dataset.github.io/,"official aggregate: 76000 trajectories, 350 hours, 564 scenes, 86 tasks, 50 collectors",aggregate_zipf_expansion_from_official_counts
DROID real robot manipulation dataset,droid_task_bucket_28_in_the_wild_manipulation,457.6306,0.5957,0.6106,medium,https://droid-dataset.github.io/,"official aggregate: 76000 trajectories, 350 hours, 564 scenes, 86 tasks, 50 collectors",aggregate_zipf_expansion_from_official_counts
DROID real robot manipulation dataset,droid_task_bucket_29_in_the_wild_manipulation,439.3763,0.586,0.6251,medium,https://droid-dataset.github.io/,"official aggregate: 76000 trajectories, 350 hours, 564 scenes, 86 tasks, 50 collectors",aggregate_zipf_expansion_from_official_counts
DROID real robot manipulation dataset,droid_task_bucket_30_in_the_wild_manipulation,422.4329,0.5762,0.6396,medium,https://droid-dataset.github.io/,"official aggregate: 76000 trajectories, 350 hours, 564 scenes, 86 tasks, 50 collectors",aggregate_zipf_expansion_from_official_counts
DROID real robot manipulation dataset,droid_task_bucket_31_in_the_wild_manipulation,406.6669,0.5664,0.654,medium,https://droid-dataset.github.io/,"official aggregate: 76000 trajectories, 350 hours, 564 scenes, 86 tasks, 50 collectors",aggregate_zipf_expansion_from_official_counts
DROID real robot manipulation dataset,droid_task_bucket_32_in_the_wild_manipulation,391.9624,0.5566,0.6685,medium,https://droid-dataset.github.io/,"official aggregate: 76000 trajectories, 350 hours, 564 scenes, 86 tasks, 50 collectors",aggregate_zipf_expansion_from_official_counts
DROID real robot manipulation dataset,droid_task_bucket_33_in_the_wild_manipulation,378.218,0.5468,0.683,tail,https://droid-dataset.github.io/,"official aggregate: 76000 trajectories, 350 hours, 564 scenes, 86 tasks, 50 collectors",aggregate_zipf_expansion_from_official_counts
DROID real robot manipulation dataset,droid_task_bucket_34_in_the_wild_manipulation,365.3447,0.537,0.6974,tail,https://droid-dataset.github.io/,"official aggregate: 76000 trajectories, 350 hours, 564 scenes, 86 tasks, 50 collectors",aggregate_zipf_expansion_from_official_counts
DROID real robot manipulation dataset,droid_task_bucket_35_in_the_wild_manipulation,353.264,0.5272,0.7119,tail,https://droid-dataset.github.io/,"official aggregate: 76000 trajectories, 350 hours, 564 scenes, 86 tasks, 50 collectors",aggregate_zipf_expansion_from_official_counts
